#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Cirrus SR22 Turbo", unit_software_part_number="006-B1177-C2", unit_software_version="21.70", system_software_part_number="006-B2647-N9", system_id="26038F7A8", mode=NORMAL, flightstream_header="26038F7A8_20260323_094616", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft lbs,       %,   deg C,      gph,     Hg,    rpm,  ft lbs,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,    deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2, E1 Torq,   E1 NG,  E1 ITT, E2 FFlow, E2 MAP, E2 RPM, E2 Torq,   E2 NG,  E2 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd,  WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2026-03-23, 09:46:15,  -07:00,       ,             ,             ,   168.7, 30.14,        ,  30.8,   0.00,       ,  -28.70,       ,       ,       ,       ,      ,      ,  24.7,  24.1,  -4.7,  32.64,  33.41,     0.20,  169.01,    0.26,  29.91,    1.1,    0.00,  240.11,  232.51,  224.96,  230.16,  223.22,  218.39,  276.13,  286.62,  237.27,  248.97,  234.05,  220.75,  407.66,  382.05,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,    2.3, 108.70, 108.70, 127.200, 122.800,       ,       ,       ,       ,       ,       ,   -6.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-03-23, 09:46:17,  -07:00,       ,             ,             ,   167.7, 30.14,        ,  30.8,   0.00,       ,  -31.62,       ,       ,       ,       ,      ,      ,  24.8,  24.1,  -4.8,  31.42,  32.52,     0.49,  168.04,    0.21,  29.88,    0.1,    0.00,  240.04,  232.45,  224.92,  230.10,  223.18,  218.33,  276.04,  286.18,  237.24,  248.68,  233.70,  220.36,  407.85,  383.07,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,    2.3, 108.70, 108.70, 127.200, 122.800,       ,       ,       ,       ,       ,       ,   -6.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-03-23, 09:46:18,  -07:00,       ,             ,             ,   167.7, 30.14,        ,  30.8,   0.00,       ,  -31.99,       ,       ,       ,       ,      ,      ,  23.9,  23.5,  -4.9,  30.30,  31.63,     0.52,  166.96,    0.60,  29.99,    0.0,   -0.00,  239.97,  232.39,  224.87,  230.02,  223.12,  218.26,  273.42,  285.79,  238.27,  249.19,  234.42,  220.13,  406.75,  384.00,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,    2.3, 108.70, 108.70, 127.200, 122.800,       ,       ,       ,       ,       ,       ,   -6.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-03-23, 09:46:19,  -07:00,       ,             ,             ,   167.7, 30.14,        ,  30.8,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  23.4,  22.8,  -5.1,  29.42,  30.81,     0.42,  166.03,    2.13,  29.91,   90.8,    0.00,  239.89,  232.31,  224.81,  229.95,  223.05,  218.21,  275.86,  288.59,  234.77,  248.24,  237.05,  219.11,  407.34,  380.84,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,    2.3, 108.70, 108.70, 127.200, 122.800,       ,       ,       ,       ,       ,       ,   -6.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-03-23, 09:46:20,  -07:00,       ,             ,             ,   164.7, 30.14,        ,  30.8,   0.00,       ,  -54.64,       ,       ,       ,       ,      ,      ,  23.5,  22.9,  -5.3,  28.72,  29.98,     6.29,  165.12,   19.70,  26.45, 1010.2,    0.18,  239.81,  232.26,  224.77,  229.88,  223.00,  218.16,  340.38,  332.62,  243.26,  297.52,  306.38,  275.72,  437.96,  418.87,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,    2.3, 108.70, 108.70, 127.200, 122.800,       ,       ,       ,       ,       ,       ,   -6.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-03-23, 09:46:21,  -07:00,       ,             ,             ,   173.7, 30.14,        ,  30.8,   0.00,       ,   91.42,       ,       ,       ,       ,      ,      ,  23.9,  23.2,  -5.4,  28.01,  29.24,     5.09,  164.24,   32.52,  18.70, 1145.5,    0.16,  239.74,  232.19,  224.69,  229.82,  222.98,  218.08,  402.76,  385.97,  337.56,  375.32,  364.53,  343.35,  476.15,  487.26,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,    2.3, 108.70, 108.70, 127.200, 122.800,       ,       ,       ,       ,       ,       ,   -6.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-03-23, 09:46:22,  -07:00,       ,             ,             ,   172.7, 30.14,        ,  30.8,   0.00,       ,  114.59,       ,       ,       ,       ,      ,      ,  24.3,  23.6,  -4.7,  27.26,  28.60,     4.53,  164.08,   36.72,  17.97, 1174.8,    0.14,  239.67,  232.15,  224.66,  229.75,  223.00,  218.05,  449.02,  464.90,  401.61,  459.45,  436.85,  434.83,  536.28,  533.14,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,    2.3, 108.70, 108.70, 127.200, 122.800,       ,       ,       ,       ,       ,       ,   -6.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-03-23, 09:46:23,  -07:00,       ,             ,             ,   172.7, 30.14,        ,  30.8,   0.00,       ,   64.09,       ,       ,       ,       ,      ,      ,  25.0,  24.5,  -0.6,  26.65,  27.99,     4.35,  164.52,   39.27,  17.12, 1216.1,    0.15,  239.60,  232.12,  224.61,  229.69,  223.07,  218.04,  518.59,  548.02,  508.74,  539.69,  532.94,  525.40,  593.36,  613.06,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,    2.3, 108.70, 108.70, 127.200, 122.800,       ,       ,       ,       ,       ,       ,   -6.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-03-23, 09:46:24,  -07:00,       ,             ,             ,   171.7, 30.14,        ,  30.8,   0.00,       ,    6.27,       ,       ,       ,       ,      ,      ,  25.7,  25.5,   2.5,  26.15,  27.35,     4.31,  165.58,   40.32,  16.68, 1282.1,    0.15,  239.53,  232.11,  224.61,  229.64,  223.17,  218.07,  587.16,  617.98,  586.39,  619.31,  608.81,  608.31,  645.13,  674.04,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,    2.3, 108.70, 108.70, 127.200, 122.800,       ,       ,       ,       ,       ,       ,   -6.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-03-23, 09:46:25,  -07:00,       ,             ,             ,   172.7, 30.14,        ,  30.8,   0.00,       ,   10.29,       ,       ,       ,       ,      ,      ,  26.1,  26.2,   4.6,  25.57,  26.85,     4.26,  166.84,   40.93,  16.12, 1291.5,    0.15,  239.48,  232.15,  224.64,  229.60,  223.36,  218.13,  651.33,  680.01,  665.52,  671.99,  679.46,  673.14,  685.33,  734.18,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,    2.3, 108.70, 108.70, 127.200, 122.800,       ,       ,       ,       ,       ,       ,   -6.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
