#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Cirrus SR22 Turbo", unit_software_part_number="006-B1177-C2", unit_software_version="21.70", system_software_part_number="006-B2647-N9", system_id="26038F7A8", mode=NORMAL, flightstream_header="26038F7A8_20260421_050727", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft lbs,       %,   deg C,      gph,     Hg,    rpm,  ft lbs,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,    deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2, E1 Torq,   E1 NG,  E1 ITT, E2 FFlow, E2 MAP, E2 RPM, E2 Torq,   E2 NG,  E2 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd,  WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2026-04-21, 05:07:27,  -07:00,       ,             ,             ,    -5.7, 30.12,        ,  23.5,   0.00,       ,  -24.35,       ,       ,       ,       ,      ,      ,  23.7,  23.1,  -3.6,  33.60,  38.57,     0.00,   76.42,    0.19,  30.17,    0.0,    0.00,   75.74,   74.67,   74.74,   75.46,   75.81,   75.64,   72.86,   72.90,   72.90,   72.90,   73.26,   73.59,   72.52,   72.54,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  263.9, 116.70, 110.70, 125.500, 121.700,       ,       ,       ,       ,       ,       ,   -7.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-04-21, 05:07:28,  -07:00,       ,             ,             ,    -5.7, 30.12,        ,  23.5,   0.00,       ,  -16.37,       ,       ,       ,       ,      ,      ,  23.8,  23.2,  -3.7,  33.60,  38.57,     0.00,   76.41,    0.19,  30.18,    0.0,    0.00,   75.75,   74.67,   74.73,   75.46,   75.80,   75.64,   72.86,   72.90,   72.90,   72.92,   73.25,   73.59,   72.54,   72.55,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  263.9, 116.70, 110.70, 125.500, 121.700,       ,       ,       ,       ,       ,       ,   -7.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-04-21, 05:07:29,  -07:00,       ,             ,             ,    -6.7, 30.12,        ,  23.5,   0.00,       ,  -25.93,       ,       ,       ,       ,      ,      ,  23.9,  23.2,  -3.7,  33.58,  38.55,     0.00,   76.42,    0.18,  30.18,    0.0,    0.00,   75.74,   74.67,   74.74,   75.47,   75.82,   75.64,   72.86,   72.92,   72.89,   72.92,   73.25,   73.58,   72.53,   72.57,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  263.9, 116.70, 110.70, 125.500, 121.700,       ,       ,       ,       ,       ,       ,   -7.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-04-21, 05:07:30,  -07:00,       ,             ,             ,    -6.7, 30.12,        ,  23.5,   0.00,       ,  -31.75,       ,       ,       ,       ,      ,      ,  23.9,  23.3,  -3.7,  33.56,  38.55,     0.00,   76.42,    0.18,  30.18,    0.0,    0.00,   75.74,   74.67,   74.74,   75.47,   75.82,   75.64,   72.89,   72.92,   72.90,   72.91,   73.24,   73.58,   72.51,   72.54,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  263.9, 116.70, 110.70, 125.500, 121.700,       ,       ,       ,       ,       ,       ,   -7.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-04-21, 05:07:31,  -07:00,       ,             ,             ,    -6.7, 30.12,        ,  23.5,   0.00,       ,  -22.95,       ,       ,       ,       ,      ,      ,  23.9,  23.3,  -4.1,  33.55,  38.55,     0.00,   76.42,    0.16,  30.15,    0.0,    0.00,   75.75,   74.67,   74.74,   75.48,   75.82,   75.64,   72.84,   72.92,   73.06,   72.93,   73.30,   73.60,   72.53,   72.58,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  263.9, 116.70, 110.70, 125.500, 121.700,       ,       ,       ,       ,       ,       ,   -7.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-04-21, 05:07:32,  -07:00,       ,             ,             ,    -6.7, 30.12,        ,  23.5,   0.00,       ,  -16.91,   0.52,  -0.15,  -0.03,  -0.00,  95.0,      ,  24.0,  23.3,  -4.2,  33.54,  38.55,     0.00,   76.43,    0.17,  30.15,    0.0,    0.00,   75.75,   74.67,   74.74,   75.46,   75.82,   75.64,   72.90,   72.91,   72.69,   72.92,   73.19,   73.54,   72.57,   72.51,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  263.9, 116.70, 110.70, 125.500, 121.700,       ,       ,       ,       ,       ,       ,   -7.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-04-21, 05:07:33,  -07:00,       ,             ,             ,    -7.7, 30.12,        ,  23.5,   0.00,       ,  -30.86,   0.51,  -0.12,   0.00,   0.00,  95.0,      ,  24.0,  23.3,  -4.3,  33.55,  38.56,     0.00,   76.42,    0.17,  30.17,    0.0,    0.00,   75.75,   74.67,   74.74,   75.47,   75.82,   75.64,   72.83,   72.90,   72.90,   72.92,   73.24,   73.56,   72.54,   72.55,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  263.9, 116.70, 110.70, 125.500, 121.700,       ,       ,       ,       ,       ,       ,   -7.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-04-21, 05:07:34,  -07:00,       ,             ,             ,    -7.7, 30.12,        ,  23.5,   0.00,       ,  -31.96,   0.52,  -0.18,  -0.00,  -0.00,  95.0,      ,  24.0,  23.3,  -4.4,  33.54,  38.55,     0.00,   76.42,    0.17,  30.16,    0.0,    0.00,   75.76,   74.68,   74.73,   75.47,   75.82,   75.65,   72.86,   72.91,   72.92,   72.93,   73.26,   73.57,   72.54,   72.56,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  263.9, 116.70, 110.70, 125.500, 121.700,       ,       ,       ,       ,       ,       ,   -7.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-04-21, 05:07:35,  -07:00,       ,             ,             ,    -7.7, 30.12,        ,  23.5,   0.00,       ,  -18.95,   0.52,  -0.14,  -0.00,  -0.00,  95.0,      ,  24.0,  23.3,  -4.5,  33.53,  38.56,     0.00,   76.43,    0.17,  30.15,    0.0,    0.00,   75.74,   74.67,   74.74,   75.47,   75.82,   75.65,   72.84,   72.91,   73.04,   72.95,   73.28,   73.59,   72.52,   72.55,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  263.9, 116.70, 110.70, 125.500, 121.700,       ,       ,       ,       ,       ,       ,   -7.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-04-21, 05:07:36,  -07:00,       ,             ,             ,    -7.7, 30.12,        ,  23.5,   0.00,       ,  -16.11,   0.51,  -0.15,  -0.00,  -0.00,  95.0,      ,  24.0,  23.3,  -4.6,  33.53,  38.56,     0.00,   76.43,    0.17,  30.15,    0.0,    0.00,   75.75,   74.67,   74.74,   75.47,   75.82,   75.64,   72.91,   72.92,   72.70,   72.94,   73.19,   73.57,   72.58,   72.55,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  263.9, 116.70, 110.70, 125.500, 121.700,       ,       ,       ,       ,       ,       ,   -7.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-04-21, 05:07:37,  -07:00,       ,             ,             ,    -7.7, 30.12,        ,  23.5,   0.00,       ,  -16.14,   0.51,  -0.14,  -0.00,  -0.00,  95.0,      ,  24.0,  23.3,  -4.6,  33.51,  38.55,     0.00,   76.42,    0.17,  30.16,    0.0,    0.00,   75.75,   74.68,   74.74,   75.48,   75.83,   75.66,   72.87,   72.92,   72.92,   72.94,   73.25,   73.56,   72.55,   72.54,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  263.9, 116.70, 110.70, 125.500, 121.700,       ,       ,       ,       ,       ,       ,   -7.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
